Event	ID	Name			Wwise Object Path	Notes
	399052710	Falling			\SE\Eclair\Falling	
	624013381	LowHP			\SE\System\LowHP	
	774347976	ThrowingBolt			\SE\Eclair\ThrowingBolt	
	1433397863	Steam			\Ambient\Steam	
	1518282501	Etoile_end			\SE\Eclair\Etoile_end	
	1537061107	Wind			\Ambient\Wind	
	1814275255	LowHPLoop			\SE\System\LowHPLoop	
	1834271629	HittingBolt			\SE\Eclair\HittingBolt	
	2151339297	Voice_Damaged			\SE\Eclair\Voice_Damaged	
	2255639613	SteelFrame			\Ambient\SteelFrame	
	2385628198	FootSteps			\SE\Eclair\FootSteps	
	2760337059	Cancel			\SE\System\Cancel	
	2999290755	Etoile			\SE\Eclair\Etoile	
	3004330733	Decide			\SE\System\Decide	
	3048239629	Challange1			\Default Work Unit\Challanges\Challange1	
	3065411006	Notify			\SE\System\Notify	
	3099787076	Choice			\SE\System\Choice	
	3705726509	Title			\Default Work Unit\Chapter1\Title	
	4228994330	Hacking			\SE\Eclair\Hacking	

State Group	ID	Name			Wwise Object Path	Notes
	2835351336	GroundType			\Default Work Unit\GroundType	

State	ID	Name	State Group			Notes
	0	None	GroundType			
	2003927601	Puddle	GroundType			
	2473969246	Metal	GroundType			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1086842483	MoveSpeed			\Default Work Unit\MoveSpeed	

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	95071851	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Ambient\Steam\Wait\Wwise Silence	
	1049395718	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Ambient\SteelFrame\Wait\Wwise Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	2744495	Hacking	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\Hacking_A1793BE9.wem		\Actor-Mixer Hierarchy\SoundEffects\Eclair\Hacking		24841
	30164968	FootSteps_Eclair_Default_13	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\FootSteps_Eclair_Default_13_A1793BE9.wem		\Actor-Mixer Hierarchy\SoundEffects\Eclair\FootSteps\Default\FootSteps_Eclair_Default_13		4781
	60845689	Cancel	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\Cancel_A1793BE9.wem		\Actor-Mixer Hierarchy\SoundEffects\System\Cancel		8765
	135831222	FootSteps_Eclair_Default_03	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\FootSteps_Eclair_Default_03_A1793BE9.wem		\Actor-Mixer Hierarchy\SoundEffects\Eclair\FootSteps\Default\FootSteps_Eclair_Default_03		5373
	142300749	Voice_Damaged	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\Voice_Damaged_A1793BE9.wem		\Actor-Mixer Hierarchy\SoundEffects\Eclair\Voice_Damaged		6132
	184502686	Main	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\steam01_A1793BE9.wem		\Actor-Mixer Hierarchy\Ambient\Steam\Main		45675
	282001838	BoltLaunch	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\BoltLaunch_A1793BE9.wem		\Actor-Mixer Hierarchy\SoundEffects\Eclair\BoltLaunch		55988
	302433291	Choice	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\Choice_A1793BE9.wem		\Actor-Mixer Hierarchy\SoundEffects\System\Choice		4548
	337206732	FootSteps_Eclair_Default_00	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\FootSteps_Eclair_Default_00_A1793BE9.wem		\Actor-Mixer Hierarchy\SoundEffects\Eclair\FootSteps\Default\FootSteps_Eclair_Default_00		6111
	357065517	Etoile_end	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\Etoile_end_A1793BE9.wem		\Actor-Mixer Hierarchy\SoundEffects\Eclair\Etoile_end		27722
	361646227	LowHPLoop	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\LowHPLoop_A1793BE9.wem		\Actor-Mixer Hierarchy\SoundEffects\System\LowHPLoop		35575
	385552327	Challange1	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\Challange1_CB1F3167.wem		\Interactive Music Hierarchy\Challanges\Challange1\Intro\Challange1		1236287
	536735455	FootSteps_Eclair_Default_09	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\FootSteps_Eclair_Default_09_A1793BE9.wem		\Actor-Mixer Hierarchy\SoundEffects\Eclair\FootSteps\Default\FootSteps_Eclair_Default_09		5170
	537634196	BoltLand	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\BoltLand_A1793BE9.wem		\Actor-Mixer Hierarchy\SoundEffects\Eclair\BoltLand		25144
	548352836	FootSteps_Eclair_Default_01	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\FootSteps_Eclair_Default_01_A1793BE9.wem		\Actor-Mixer Hierarchy\SoundEffects\Eclair\FootSteps\Default\FootSteps_Eclair_Default_01		5576
	575486927	Notify	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\Notify_A1793BE9.wem		\Actor-Mixer Hierarchy\SoundEffects\System\Notify		24258
	612193268	FootSteps_Eclair_Default_06	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\FootSteps_Eclair_Default_06_A1793BE9.wem		\Actor-Mixer Hierarchy\SoundEffects\Eclair\FootSteps\Default\FootSteps_Eclair_Default_06		6151
	633214849	SteelFrame	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\SteelFrame_A1793BE9.wem		\Actor-Mixer Hierarchy\Ambient\SteelFrame\SteelFrame		165915
	727930744	LowHP	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\LowHP_A1793BE9.wem		\Actor-Mixer Hierarchy\SoundEffects\System\LowHP		3971
	728078664	FootSteps_Eclair_Default_10	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\FootSteps_Eclair_Default_10_A1793BE9.wem		\Actor-Mixer Hierarchy\SoundEffects\Eclair\FootSteps\Default\FootSteps_Eclair_Default_10		6053
	729731780	FootSteps_Eclair_Default_05	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\FootSteps_Eclair_Default_05_A1793BE9.wem		\Actor-Mixer Hierarchy\SoundEffects\Eclair\FootSteps\Default\FootSteps_Eclair_Default_05		5601
	738734767	Wind	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\wind1_CB1F3167.wem		\Actor-Mixer Hierarchy\Ambient\Wind		1528620
	800222909	FootSteps_Eclair_Default_04	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\FootSteps_Eclair_Default_04_A1793BE9.wem		\Actor-Mixer Hierarchy\SoundEffects\Eclair\FootSteps\Default\FootSteps_Eclair_Default_04		6178
	837688024	Falling	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\Falling_A1793BE9.wem		\Actor-Mixer Hierarchy\SoundEffects\Eclair\Falling		61170
	857708496	Etoile	F:\Git\Eclair3\Eclair_WwiseProject\.cache\Windows\SFX\Etoile_CB1F3167.wem		\Actor-Mixer Hierarchy\SoundEffects\Eclair\Etoile		97363
